title,sell_price,orig_price,rating,num_ratings
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,490","₹47,990",4.3,"7,170 Ratings & 784 Reviews"
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹26,498","₹30,800",4.5,330 Ratings & 44 Reviews
LG 308 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹32,990","₹48,199",4,10 Ratings & 0 Reviews
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,790","₹17,899",4.4,69 Ratings & 0 Reviews
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,290","₹34,050",4.3,"27,687 Ratings & 2,966 Reviews"
SAMSUNG 244 L Frost Free Double Door 3 Star Refrigerator  with Curd Maestro,"₹25,790","₹31,990",4.4,"6,892 Ratings & 694 Reviews"
LG 360 L Frost Free Double Door 2 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹34,990","₹53,899",4.1,35 Ratings & 4 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","₹16,700",4.3,"4,570 Ratings & 375 Reviews"
LG 215 L Direct Cool Single Door 3 Star Refrigerator  with Fast Ice Making,"₹16,990","₹24,999",4.7,9 Ratings & 0 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹14,490","₹16,990",4.4,"3,393 Ratings & 332 Reviews"
,,,,
,,,,
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹14,690","₹18,400",,
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,490","₹20,390",4.4,"34,708 Ratings & 3,371 Reviews"
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹14,990","₹24,390",4.4,"1,831 Ratings & 214 Reviews"
Haier 258 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹21,490","₹32,990",,
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹15,890","₹18,990",4.4,"4,705 Ratings & 491 Reviews"
Haier 256 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,490","₹40,400",4.4,"3,706 Ratings & 352 Reviews"
LG 408 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹46,990","₹64,999",4.5,17 Ratings & 1 Reviews
Godrej 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,990","₹31,800",4.3,591 Ratings & 55 Reviews
